name,address,city,state,zip,phone,latitude,longitude,website
Manheim Pennsylvania,"1190 Lancaster Rd, Manheim, PA 17545-9746 Get Directions",,,,717-665-3571,,,https://site.manheim.com/en/locations/us-locations/manheim-pennsylvania.html
Manheim Pensacola,"6359 North W St, Pensacola, FL 32505-1710 Get Directions",,,,850-484-7100,,,https://site.manheim.com/en/locations/us-locations/manheim-pensacola.html
Manheim Philadelphia,"2280 Bethlehem Pike, Hatfield, PA 19440 Get Directions",,,,215-822-1935,,,https://site.manheim.com/en/locations/us-locations/manheim-philadelphia.html
Manheim Phoenix,"201 N 83rd Ave, Tolleson, AZ 85353-3323 Get Directions",,,,623-907-7000,,,https://site.manheim.com/en/locations/us-locations/manheim-phoenix.html
Manheim Pittsburgh,"21095 Route 19, Cranberry Township, PA 16066 Get Directions",,,,724 452-5555,,,https://site.manheim.com/en/locations/us-locations/manheim-pittsburgh.html
Park Place Auto Auction Powered by Manheim,"4422 West Plano Pkwy, Plano, TX 75093 Get Directions",,,,817-399-4000,,,https://site.manheim.com/en/locations/us-locations/manheim-park-place.html
Manheim Portland,"3000 N Hayden Island Dr, Portland, OR 97217-8257 Get Directions",,,,503-286-3000,,,https://site.manheim.com/en/locations/us-locations/manheim-portland.html
Reading Mobile Auction,"841 E. Wyomissing Blvd, Reading, PA 19611 Get Directions",,,,215-822-1935,,,https://site.manheim.com/en/locations/us-locations/manheim-philadelphia.html
Roanoke Mobile Auction,"2711 Franklin SW, Roanoke, VA 24014 Get Directions",,,,540-908-5362,,,https://site.manheim.com/en/locations/us-locations/manheim-harrisonburg.html
Manheim Riverside,"6446 Fremont St, Riverside, CA 92504-1437 Get Directions",,,,585-328-2277,,,https://site.manheim.com/en/locations/us-locations/manheim-riverside.html
Manheim Rochester,"375 Weiland Rd., Rochester, NY 14615 Get Directions",,,,585-328-2277,,,https://site.manheim.com/en/locations/us-locations/manheim-rochester.html
4 Star Auto Auction Powered by Manheim,"1050 Four Star Drive, Valley, AL 36854 Get Directions",,,,256-662-7025,,,https://site.manheim.com/en/locations/us-locations/manheim-4-star.html
Rome Auto Auction Powered by Manheim,"3824 Highway 411, Kingston, GA 30145 Get Directions",,,,470-339-2255,,,https://site.manheim.com/en/locations/us-locations/manheim-rome.html
Manheim St. Louis,"13813 Saint Charles Rock Rd., Bridgeton, MO 63044-3824 Get Directions",,,,314-739-1300,,,https://site.manheim.com/en/locations/us-locations/manheim-st-louis.html
St. Louis Mobile Auction,"3705 Lemay Ferry Rd, St. Louis, MO 63125 Get Directions",,,,314-739-1300,,,https://site.manheim.com/en/locations/us-locations/manheim-st-louis.html
Manheim St. Pete,"14950 Roosevelt Blvd, Clearwater, FL 33762-3501 Get Directions",,,,727-531-7717,,,https://site.manheim.com/en/locations/us-locations/manheim-st-pete.html
Manheim San Antonio,"2042 Ackerman Rd, San Antonio, TX 78219-3016 Get Directions",,,,210-661-4200,,,https://site.manheim.com/en/locations/us-locations/manheim-san-antonio.html
Manheim San Francisco Bay,"29900 Auction Way, Hayward, CA 94544 Get Directions",,,,510-786-4500,,,https://site.manheim.com/en/locations/us-locations/manheim-san-francisco-bay.html
Manheim Seattle,"19711 77th Ave South, Kent, WA 98032 Get Directions",,,,253-872-6800,,,https://site.manheim.com/en/locations/us-locations/manheim-seattle.html
Manheim Statesville,"145 Auction Ln, Statesville, NC 28625-9009 Get Directions",,,,704-876-1111,,,https://site.manheim.com/en/locations/us-locations/manheim-statesville.html
Manheim Southern California,"10700 Beech Ave, Fontana, CA 92337-7205 Get Directions",,,,909-822-2261,,,https://site.manheim.com/en/locations/us-locations/manheim-southern-california.html
Manheim Tampa,"401 S 50th St, Tampa, FL 33619-3651 Get Directions",,,,813-247-1666,,,https://site.manheim.com/en/locations/us-locations/manheim-tampa.html
Manheim Tucson,"7090 S Craycroft Rd, Tucson, AZ 85756 Get Directions",,,,520-574-2222,,,https://site.manheim.com/en/locations/us-locations/manheim-tucson.html
Manheim Tulsa,"9101 Frankoma Road, Sapulpa, OK 74066 Get Directions",,,,918-227-3542,,,https://site.manheim.com/en/locations/us-locations/manheim-tulsa.html
Manheim Utah,"1650 West 500 South, Woods Cross, UT 84087 Get Directions",,,,801-298-7900,,,https://site.manheim.com/en/locations/us-locations/manheim-utah.html
Wichita Mobile Auction,"9707 E. Orme Street, Wichita, KS 67207 Get Directions",,,,910-338-3060,,,https://site.manheim.com/en/locations/us-locations/manheim-kansas-city.html
Manheim Wilmington,"169 Auction Drive, Rocky Point, NC 28457 Get Directions",,,,910-338-3060,,,https://site.manheim.com/en/locations/us-locations/manheim-wilmington.html
